set terminal pdf
set title "Sample plot generated by BeepBeep 3"
set datafile separator ","
plot "-" u 1:2 t "S.WL3" w linespoints, "-" u 1:3 t "S.WL2" w linespoints, "-" u 1:4 t "S.WL1" w linespoints, "-" u 1:5 t "S.VARL2" w linespoints, "-" u 1:6 t "S.VARL3" w linespoints, "-" u 1:7 t "S.VARL1" w linespoints, "-" u 1:8 t "T.x" w linespoints
7029.081,312.38,1257.97,360.88,-363.65,-235.87,-147.01,0
7029.112,312.38,1257.97,360.88,-363.65,-235.87,-147.01,0
7029.159,310.45,1287.77,380.79,-383.29,-232.23,-173.00,0
7029.201,310.45,1287.77,380.79,-383.29,-232.23,-173.00,0
7029.232,312.36,1266.87,349.77,-367.11,-232.81,-143.66,0
7029.279,312.36,1266.87,349.77,-367.11,-232.81,-143.66,0
7029.326,316.70,1319.87,383.19,-389.69,-229.96,-178.16,0
7029.357,316.70,1319.87,383.19,-389.69,-229.96,-178.16,0
7029.389,314.71,1290.71,347.07,-379.91,-234.05,-147.25,0
7029.435,314.71,1290.71,347.07,-379.91,-234.05,-147.25,0
7029.467,317.28,1321.15,344.49,-394.65,-234.51,-146.23,0
7029.514,317.28,1321.15,344.49,-394.65,-234.51,-146.23,0
7029.545,316.10,1325.36,383.32,-393.72,-233.50,-161.14,0
7029.592,316.10,1325.36,383.32,-393.72,-233.50,-161.14,0
7029.639,320.46,1307.20,398.08,-385.09,-232.35,-183.66,0
7029.685,320.46,1307.20,398.08,-385.09,-232.35,-183.66,0
7029.732,321.08,1267.96,371.29,-372.64,-232.85,-158.53,0
7029.764,321.08,1267.96,371.29,-372.64,-232.85,-158.53,0
7029.81,316.69,1286.47,336.44,-379.57,-235.63,-141.32,0
7029.857,316.69,1286.47,336.44,-379.57,-235.63,-141.32,0
7029.889,317.77,1314.30,391.56,-394.52,-231.90,-181.63,0
7029.951,317.77,1314.30,391.56,-394.52,-231.90,-181.63,0
7029.982,314.02,1296.24,374.84,-386.77,-230.54,-169.75,0
7030.029,314.02,1296.24,374.84,-386.77,-230.54,-169.75,0
7030.06,322.10,1302.00,363.63,-393.22,-231.92,-167.47,0
7030.467,322.10,1302.00,363.63,-393.22,-231.92,-167.47,0
7030.685,315.59,1270.82,347.48,-373.72,-233.71,-153.67,0
