set terminal pdf
set title "Sample plot generated by BeepBeep 3"
set datafile separator ","
plot "-" u 1:2 t "S.WL3" w linespoints, "-" u 1:3 t "S.WL2" w linespoints, "-" u 1:4 t "S.WL1" w linespoints, "-" u 1:5 t "S.VARL2" w linespoints, "-" u 1:6 t "S.VARL3" w linespoints, "-" u 1:7 t "S.VARL1" w linespoints, "-" u 1:8 t "T.x" w linespoints
7208.414,317.04,1267.04,438.74,-372.38,-230.91,-176.61,0
7208.476,318.71,1210.63,444.27,-349.42,-232.72,-180.60,0
7208.523,318.71,1210.63,444.27,-349.42,-232.72,-180.60,0
7208.555,314.77,1258.35,432.69,-373.50,-232.96,-182.67,0
7208.601,314.77,1258.35,432.69,-373.50,-232.96,-182.67,0
7208.648,315.83,1255.31,410.65,-377.56,-232.34,-174.01,0
7208.695,315.83,1255.31,410.65,-377.56,-232.34,-174.01,0
7208.742,318.52,1238.45,481.01,-361.75,-230.14,-201.68,0
7208.773,318.52,1238.45,481.01,-361.75,-230.14,-201.68,0
7208.82,315.53,1257.09,442.39,-371.18,-235.53,-185.99,0
7208.851,315.53,1257.09,442.39,-371.18,-235.53,-185.99,0
7208.898,320.87,1277.21,465.39,-382.29,-234.29,-200.53,0
7208.945,320.87,1277.21,465.39,-382.29,-234.29,-200.53,0
7208.976,323.49,1285.21,389.86,-382.34,-238.52,-165.78,0
7209.023,323.49,1285.21,389.86,-382.34,-238.52,-165.78,0
7209.07,323.02,1298.19,466.90,-384.08,-232.99,-203.37,0
7209.117,323.02,1298.19,466.90,-384.08,-232.99,-203.37,0
7209.19,319.39,1264.18,456.03,-368.75,-235.84,-199.09,0
7209.237,315.54,1238.64,457.59,-353.30,-235.57,-194.46,0
7209.284,315.54,1238.64,457.59,-353.30,-235.57,-194.46,0
7209.331,308.03,1263.05,422.31,-375.55,-233.93,-181.15,0
7209.409,317.62,1233.40,469.41,-355.01,-231.45,-202.03,0
7209.456,317.62,1233.40,469.41,-355.01,-231.45,-202.03,0
7209.519,312.58,1265.61,432.29,-377.18,-231.87,-182.70,0
7209.565,314.01,1264.37,446.35,-368.97,-230.96,-194.89,0
7209.612,314.01,1264.37,446.35,-368.97,-230.96,-194.89,0
7209.659,312.97,1240.46,415.16,-359.28,-237.83,-162.83,0
7209.706,312.97,1240.46,415.16,-359.28,-237.83,-162.83,0
7209.753,301.28,1261.24,421.78,-372.50,-233.53,-164.80,0
7209.8,301.28,1261.24,421.78,-372.50,-233.53,-164.80,0
7209.847,316.48,1269.07,464.48,-381.86,-235.24,-194.37,0
7209.878,316.48,1269.07,464.48,-381.86,-235.24,-194.37,0
7209.956,322.31,1248.75,465.25,-363.40,-233.85,-194.86,0
